Ref_ID,doi_raw,doi_norm,publication_year,grouped_fold,chronological_role,row_random_fold,row_random_DOI_seen_in_train
47,10.1002/aenm.201803587,10.1002/aenm.201803587,2019,3,test_2019_onward,5,True
48,10.1002/aenm.201803587,10.1002/aenm.201803587,2019,3,test_2019_onward,5,True
49,10.1016/j.joule.2018.06.009,10.1016/j.joule.2018.06.009,2018,5,train_through_2018,1,False
50,10.1016/j.nanoen.2018.10.011,10.1016/j.nanoen.2018.10.011,2018,3,train_through_2018,2,True
51,10.1016/j.nanoen.2018.10.011,10.1016/j.nanoen.2018.10.011,2018,3,train_through_2018,2,True
52,10.1016/j.nanoen.2018.10.011,10.1016/j.nanoen.2018.10.011,2018,3,train_through_2018,5,True
53,10.1016/j.nanoen.2018.10.011,10.1016/j.nanoen.2018.10.011,2018,3,train_through_2018,4,True
54,10.1038/ncomms15330,10.1038/ncomms15330,2017,4,train_through_2018,3,True
55,10.1038/ncomms15330,10.1038/ncomms15330,2017,4,train_through_2018,5,True
56,10.1038/ncomms15330,10.1038/ncomms15330,2017,4,train_through_2018,2,True
57,10.1038/ncomms15330,10.1038/ncomms15330,2017,4,train_through_2018,2,True
58,10.1038/ncomms15330,10.1038/ncomms15330,2017,4,train_through_2018,2,True
59,10.1038/ncomms15330,10.1038/ncomms15330,2017,4,train_through_2018,1,True
60,10.1038/ncomms15330,10.1038/ncomms15330,2017,4,train_through_2018,3,True
61,10.1038/ncomms15330,10.1038/ncomms15330,2017,4,train_through_2018,5,True
62,10.1038/ncomms13503,10.1038/ncomms13503,2016,2,train_through_2018,1,False
63,10.1039/c8ta07968d,10.1039/c8ta07968d,2018,3,train_through_2018,5,True
64,10.1039/c8ta07968d,10.1039/c8ta07968d,2018,3,train_through_2018,1,True
65,10.1039/c8ta07968d,10.1039/c8ta07968d,2018,3,train_through_2018,1,True
66,10.1039/c8ta07968d,10.1039/c8ta07968d,2018,3,train_through_2018,3,True
67,10.1088/1361-6463/ab1626,10.1088/1361-6463/ab1626,2019,3,test_2019_onward,5,False
68,10.1117/12.2506443,10.1117/12.2506443,2019,4,test_2019_onward,2,True
69,10.1117/12.2506443,10.1117/12.2506443,2019,4,test_2019_onward,5,True
70,10.1117/12.2506443,10.1117/12.2506443,2019,4,test_2019_onward,4,True
71,10.1117/12.2506443,10.1117/12.2506443,2019,4,test_2019_onward,2,True
72,10.1246/cl.180616,10.1246/cl.180616,2018,5,train_through_2018,4,True
73,10.1246/cl.180616,10.1246/cl.180616,2018,5,train_through_2018,1,True
74,10.1246/cl.180616,10.1246/cl.180616,2018,5,train_through_2018,2,True
75,10.1039/c7se00100b,10.1039/c7se00100b,2017,2,train_through_2018,2,True
76,10.1039/c7se00100b,10.1039/c7se00100b,2017,2,train_through_2018,4,True
77,10.1039/c7se00100b,10.1039/c7se00100b,2017,2,train_through_2018,2,True
78,10.1039/c7se00100b,10.1039/c7se00100b,2017,2,train_through_2018,3,True
80,10.1021/acs.jpcc.5b06269,10.1021/acs.jpcc.5b06269,2015,3,train_through_2018,2,False
81,10.1021/acs.jpcc.8b01026,10.1021/acs.jpcc.8b01026,2018,1,train_through_2018,2,True
82,10.1021/acs.jpcc.8b01026,10.1021/acs.jpcc.8b01026,2018,1,train_through_2018,4,True
85,10.1016/j.cej.2017.05.085,10.1016/j.cej.2017.05.085,2017,4,train_through_2018,4,False
86,10.1088/2053-1591/aa7fcd,10.1088/2053-1591/aa7fcd,2017,3,train_through_2018,5,True
87,10.1088/2053-1591/aa7fcd,10.1088/2053-1591/aa7fcd,2017,3,train_through_2018,4,True
88,10.1088/2053-1591/aa7fcd,10.1088/2053-1591/aa7fcd,2017,3,train_through_2018,4,True
89,10.1038/ncomms10228,10.1038/ncomms10228,2016,3,train_through_2018,3,True
90,10.1038/ncomms10228,10.1038/ncomms10228,2016,3,train_through_2018,3,True
91,10.1038/ncomms10228,10.1038/ncomms10228,2016,3,train_through_2018,1,True
92,10.1002/solr.201900091,10.1002/solr.201900091,2019,5,test_2019_onward,1,True
93,10.1002/solr.201900091,10.1002/solr.201900091,2019,5,test_2019_onward,5,True
94,10.1002/solr.201900091,10.1002/solr.201900091,2019,5,test_2019_onward,2,True
95,10.1002/solr.201900091,10.1002/solr.201900091,2019,5,test_2019_onward,1,True
96,10.1002/solr.201900091,10.1002/solr.201900091,2019,5,test_2019_onward,5,True
97,10.1002/solr.201900091,10.1002/solr.201900091,2019,5,test_2019_onward,3,True
98,10.1039/c8qi00309b,10.1039/c8qi00309b,2018,3,train_through_2018,2,False
99,10.1088/2053-1591/ab1923,10.1088/2053-1591/ab1923,2019,3,test_2019_onward,1,True
100,10.1088/2053-1591/ab1923,10.1088/2053-1591/ab1923,2019,3,test_2019_onward,5,True
101,10.1088/2053-1591/ab1923,10.1088/2053-1591/ab1923,2019,3,test_2019_onward,5,True
102,10.1088/2053-1591/ab1923,10.1088/2053-1591/ab1923,2019,3,test_2019_onward,3,True
103,10.1088/2053-1591/ab1923,10.1088/2053-1591/ab1923,2019,3,test_2019_onward,5,True
104,10.1007/s11426-018-9436-1,10.1007/s11426-018-9436-1,2019,1,test_2019_onward,1,False
105,10.1039/c6nr04741f,10.1039/c6nr04741f,2016,5,train_through_2018,2,True
106,10.1039/c6nr04741f,10.1039/c6nr04741f,2016,5,train_through_2018,2,True
107,10.1039/c6nr04741f,10.1039/c6nr04741f,2016,5,train_through_2018,3,True
108,10.1039/c6nr04741f,10.1039/c6nr04741f,2016,5,train_through_2018,5,True
109,10.1039/c6nr04741f,10.1039/c6nr04741f,2016,5,train_through_2018,4,True
110,10.1039/c6nr04741f,10.1039/c6nr04741f,2016,5,train_through_2018,3,True
111,10.1039/c6nr04741f,10.1039/c6nr04741f,2016,5,train_through_2018,4,True
112,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,1,True
113,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,4,True
114,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,1,True
115,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,1,True
116,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,4,True
117,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,2,True
118,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,1,True
119,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,1,True
120,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,3,True
121,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,2,True
122,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,4,True
123,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,4,True
124,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,4,True
125,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,3,True
126,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,3,True
127,10.1039/c9se00306a,10.1039/c9se00306a,2019,1,test_2019_onward,1,True
128,10.1016/j.mtener.2017.07.010,10.1016/j.mtener.2017.07.010,2017,5,train_through_2018,4,False
130,10.1039/c6ra15210d,10.1039/c6ra15210d,2016,1,train_through_2018,5,True
131,10.1039/c6ra15210d,10.1039/c6ra15210d,2016,1,train_through_2018,4,True
132,10.1039/c6ra15210d,10.1039/c6ra15210d,2016,1,train_through_2018,2,True
133,10.1039/c6ra15210d,10.1039/c6ra15210d,2016,1,train_through_2018,5,True
134,10.1038/srep20357,10.1038/srep20357,2016,5,train_through_2018,1,True
135,10.1038/srep20357,10.1038/srep20357,2016,5,train_through_2018,3,True
136,10.1038/srep20357,10.1038/srep20357,2016,5,train_through_2018,5,True
137,10.1038/srep20357,10.1038/srep20357,2016,5,train_through_2018,5,True
138,10.1038/srep20357,10.1038/srep20357,2016,5,train_through_2018,5,True
139,10.1038/srep20357,10.1038/srep20357,2016,5,train_through_2018,1,True
140,10.1038/srep20357,10.1038/srep20357,2016,5,train_through_2018,5,True
141,10.1021/acsami.7b06638,10.1021/acsami.7b06638,2017,2,train_through_2018,5,True
142,10.1021/acsami.7b06638,10.1021/acsami.7b06638,2017,2,train_through_2018,2,True
143,10.1021/acsami.7b06638,10.1021/acsami.7b06638,2017,2,train_through_2018,3,True
144,10.1021/acsami.7b06638,10.1021/acsami.7b06638,2017,2,train_through_2018,3,True
145,10.1021/acsami.7b06638,10.1021/acsami.7b06638,2017,2,train_through_2018,5,True
146,10.1021/acsami.7b06638,10.1021/acsami.7b06638,2017,2,train_through_2018,5,True
147,10.1021/acsami.7b06638,10.1021/acsami.7b06638,2017,2,train_through_2018,2,True
148,10.1021/acsami.7b06638,10.1021/acsami.7b06638,2017,2,train_through_2018,3,True
149,10.1021/acsami.7b06638,10.1021/acsami.7b06638,2017,2,train_through_2018,3,True
150,10.1021/acsami.7b06638,10.1021/acsami.7b06638,2017,2,train_through_2018,2,True
151,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,2,True
152,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,2,True
153,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,3,True
154,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,5,True
155,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,1,True
156,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,3,True
157,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,4,True
158,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,3,True
159,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,4,True
160,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,1,True
161,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,5,True
162,10.1039/c5nr01433f,10.1039/c5nr01433f,2015,2,train_through_2018,4,True
163,10.1002/pssa.201800669,10.1002/pssa.201800669,2019,5,test_2019_onward,2,True
164,10.1002/pssa.201800669,10.1002/pssa.201800669,2019,5,test_2019_onward,4,True
165,10.1002/pssa.201800669,10.1002/pssa.201800669,2019,5,test_2019_onward,5,True
166,10.1002/pssa.201800669,10.1002/pssa.201800669,2019,5,test_2019_onward,5,True
167,10.1002/pssa.201800669,10.1002/pssa.201800669,2019,5,test_2019_onward,3,True
168,10.1002/pssa.201800669,10.1002/pssa.201800669,2019,5,test_2019_onward,5,True
169,10.1021/acsami.8b15513,10.1021/acsami.8b15513,2018,3,train_through_2018,2,True
170,10.1021/acsami.8b15513,10.1021/acsami.8b15513,2018,3,train_through_2018,5,True
171,10.1021/acsami.8b15513,10.1021/acsami.8b15513,2018,3,train_through_2018,1,True
172,10.1039/c4ee01983k,10.1039/c4ee01983k,2014,1,train_through_2018,4,True
173,10.1039/c4ee01983k,10.1039/c4ee01983k,2014,1,train_through_2018,3,True
174,10.1039/c4ee01983k,10.1039/c4ee01983k,2014,1,train_through_2018,4,True
175,10.1039/c4ee01983k,10.1039/c4ee01983k,2014,1,train_through_2018,3,True
176,10.1039/c4ee01983k,10.1039/c4ee01983k,2014,1,train_through_2018,3,True
177,10.1039/c4ee01983k,10.1039/c4ee01983k,2014,1,train_through_2018,1,True
178,10.1039/c4ee01983k,10.1039/c4ee01983k,2014,1,train_through_2018,1,True
179,10.1039/c5ee01179e,10.1039/c5ee01179e,2015,4,train_through_2018,2,True
180,10.1039/c5ee01179e,10.1039/c5ee01179e,2015,4,train_through_2018,3,True
186,10.1016/j.nanoen.2019.02.070,10.1016/j.nanoen.2019.02.070,2019,1,test_2019_onward,2,True
187,10.1016/j.nanoen.2019.02.070,10.1016/j.nanoen.2019.02.070,2019,1,test_2019_onward,1,True
188,10.1016/j.nanoen.2019.02.070,10.1016/j.nanoen.2019.02.070,2019,1,test_2019_onward,4,True
189,10.1016/j.nanoen.2019.02.070,10.1016/j.nanoen.2019.02.070,2019,1,test_2019_onward,3,True
190,10.7567/JJAP.57.02CE01,10.7567/jjap.57.02ce01,2017,5,train_through_2018,2,True
191,10.7567/JJAP.57.02CE01,10.7567/jjap.57.02ce01,2017,5,train_through_2018,1,True
192,10.7567/JJAP.57.02CE01,10.7567/jjap.57.02ce01,2017,5,train_through_2018,4,True
193,10.7567/JJAP.57.02CE01,10.7567/jjap.57.02ce01,2017,5,train_through_2018,3,True
194,10.1016/j.solener.2018.05.050,10.1016/j.solener.2018.05.050,2018,5,train_through_2018,2,True
195,10.1016/j.solener.2018.05.050,10.1016/j.solener.2018.05.050,2018,5,train_through_2018,1,True
196,10.1021/acsami.6b02701,10.1021/acsami.6b02701,2016,2,train_through_2018,2,True
197,10.1021/acsami.6b02701,10.1021/acsami.6b02701,2016,2,train_through_2018,1,True
198,10.1021/acsami.6b02701,10.1021/acsami.6b02701,2016,2,train_through_2018,1,True
199,10.1021/acsami.6b02701,10.1021/acsami.6b02701,2016,2,train_through_2018,2,True
200,10.1021/acsami.6b02701,10.1021/acsami.6b02701,2016,2,train_through_2018,3,True
201,10.1021/acsami.6b02701,10.1021/acsami.6b02701,2016,2,train_through_2018,1,True
202,10.1021/acsami.6b02701,10.1021/acsami.6b02701,2016,2,train_through_2018,1,True
203,10.1039/c8cp00008e,10.1039/c8cp00008e,2018,4,train_through_2018,5,True
205,10.1039/c8cp00008e,10.1039/c8cp00008e,2018,4,train_through_2018,2,True
206,10.1039/c8cp00008e,10.1039/c8cp00008e,2018,4,train_through_2018,3,True
207,10.1002/solr.201700141,10.1002/solr.201700141,2017,3,train_through_2018,1,True
208,10.1002/solr.201700141,10.1002/solr.201700141,2017,3,train_through_2018,5,True
213,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,1,True
214,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,1,True
215,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,2,True
216,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,2,True
217,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,2,True
218,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,3,True
219,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,1,True
220,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,1,True
221,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,2,True
222,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,4,True
223,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,1,True
224,10.1021/acs.nanolett.5b01917,10.1021/acs.nanolett.5b01917,2015,1,train_through_2018,4,True
225,10.1021/acsami.7b04833,10.1021/acsami.7b04833,2017,1,train_through_2018,5,True
226,10.1021/acsami.7b04833,10.1021/acsami.7b04833,2017,1,train_through_2018,4,True
227,10.1021/acsami.7b04833,10.1021/acsami.7b04833,2017,1,train_through_2018,4,True
228,10.1021/acsami.7b04833,10.1021/acsami.7b04833,2017,1,train_through_2018,4,True
229,10.1021/acsami.7b04833,10.1021/acsami.7b04833,2017,1,train_through_2018,1,True
230,10.1021/acsami.7b04833,10.1021/acsami.7b04833,2017,1,train_through_2018,3,True
231,10.1021/acsami.7b04833,10.1021/acsami.7b04833,2017,1,train_through_2018,1,True
232,10.1021/acsami.7b04833,10.1021/acsami.7b04833,2017,1,train_through_2018,5,True
233,10.1021/acsami.7b04833,10.1021/acsami.7b04833,2017,1,train_through_2018,5,True
234,10.1021/acsami.7b04833,10.1021/acsami.7b04833,2017,1,train_through_2018,5,True
235,10.1063/1.4974794,10.1063/1.4974794,2017,4,train_through_2018,2,True
236,10.1063/1.4974794,10.1063/1.4974794,2017,4,train_through_2018,3,True
237,10.1063/1.4974794,10.1063/1.4974794,2017,4,train_through_2018,2,True
238,10.1063/1.4974794,10.1063/1.4974794,2017,4,train_through_2018,4,True
239,10.1002/cphc.201600817,10.1002/cphc.201600817,2016,1,train_through_2018,5,False
240,10.1039/c7ra01718a,10.1039/c7ra01718a,2017,2,train_through_2018,4,True
241,10.1039/c7ra01718a,10.1039/c7ra01718a,2017,2,train_through_2018,1,True
242,10.1039/c7ra01718a,10.1039/c7ra01718a,2017,2,train_through_2018,4,True
243,10.1039/c7ra01718a,10.1039/c7ra01718a,2017,2,train_through_2018,2,True
244,10.1039/c7ra01718a,10.1039/c7ra01718a,2017,2,train_through_2018,1,True
245,10.1039/c7ra01718a,10.1039/c7ra01718a,2017,2,train_through_2018,3,True
246,10.1021/acsphotonics.6b00582,10.1021/acsphotonics.6b00582,2016,4,train_through_2018,3,False
247,10.1039/c4ta02711f,10.1039/c4ta02711f,2014,5,train_through_2018,1,True
248,10.1039/c4ta02711f,10.1039/c4ta02711f,2014,5,train_through_2018,5,True
249,10.1039/c4ta02711f,10.1039/c4ta02711f,2014,5,train_through_2018,4,True
250,10.1039/c4ta02711f,10.1039/c4ta02711f,2014,5,train_through_2018,5,True
252,10.1016/j.solmat.2015.07.021,10.1016/j.solmat.2015.07.021,2015,3,train_through_2018,1,True
253,10.1016/j.solmat.2015.07.021,10.1016/j.solmat.2015.07.021,2015,3,train_through_2018,1,True
254,10.1016/j.solmat.2015.07.021,10.1016/j.solmat.2015.07.021,2015,3,train_through_2018,2,True
255,10.1016/j.solmat.2015.07.021,10.1016/j.solmat.2015.07.021,2015,3,train_through_2018,1,True
256,10.1016/j.solmat.2015.07.021,10.1016/j.solmat.2015.07.021,2015,3,train_through_2018,4,True
257,10.1016/j.solmat.2015.07.021,10.1016/j.solmat.2015.07.021,2015,3,train_through_2018,2,True
258,10.1016/j.solmat.2015.07.021,10.1016/j.solmat.2015.07.021,2015,3,train_through_2018,4,True
259,10.1016/j.solmat.2015.07.021,10.1016/j.solmat.2015.07.021,2015,3,train_through_2018,4,True
260,10.1016/j.solmat.2015.07.021,10.1016/j.solmat.2015.07.021,2015,3,train_through_2018,2,True
261,10.1016/j.solmat.2015.07.021,10.1016/j.solmat.2015.07.021,2015,3,train_through_2018,5,True
262,10.1016/j.electacta.2019.06.168,10.1016/j.electacta.2019.06.168,2019,4,test_2019_onward,1,False
263,10.1016/j.electacta.2019.06.168,10.1016/j.electacta.2019.06.168,2019,4,test_2019_onward,1,False
264,10.1186/s11671-016-1621-4,10.1186/s11671-016-1621-4,2016,4,train_through_2018,3,True
265,10.1186/s11671-016-1621-4,10.1186/s11671-016-1621-4,2016,4,train_through_2018,1,True
266,10.1186/s11671-016-1621-4,10.1186/s11671-016-1621-4,2016,4,train_through_2018,3,True
267,10.1039/c7ta05012g,10.1039/c7ta05012g,2017,5,train_through_2018,2,False
269,10.1002/solr.201700224,10.1002/solr.201700224,2018,2,train_through_2018,4,True
270,10.1002/solr.201700224,10.1002/solr.201700224,2018,2,train_through_2018,4,True
271,10.1002/solr.201700224,10.1002/solr.201700224,2018,2,train_through_2018,1,True
272,10.1002/solr.201700224,10.1002/solr.201700224,2018,2,train_through_2018,5,True
273,10.1002/solr.201700224,10.1002/solr.201700224,2018,2,train_through_2018,3,True
274,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,4,True
275,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,1,True
276,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,2,True
277,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,5,True
278,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,2,True
279,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,3,True
280,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,2,True
282,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,5,True
283,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,1,True
284,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,1,True
285,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,4,True
286,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,4,True
287,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,1,True
288,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,4,True
289,10.1021/acsnano.8b06062,10.1021/acsnano.8b06062,2018,4,train_through_2018,4,True
290,10.1039/c8se00059j,10.1039/c8se00059j,2018,3,train_through_2018,4,True
291,10.1039/c8se00059j,10.1039/c8se00059j,2018,3,train_through_2018,5,True
292,10.1039/c8se00059j,10.1039/c8se00059j,2018,3,train_through_2018,3,True
293,10.1039/c8se00059j,10.1039/c8se00059j,2018,3,train_through_2018,4,True
294,10.1039/c8se00059j,10.1039/c8se00059j,2018,3,train_through_2018,3,True
295,10.1039/c8se00059j,10.1039/c8se00059j,2018,3,train_through_2018,3,True
296,10.1021/acsami.5b12849,10.1021/acsami.5b12849,2016,1,train_through_2018,3,True
297,10.1021/acsami.5b12849,10.1021/acsami.5b12849,2016,1,train_through_2018,3,True
298,10.1021/acsami.5b12849,10.1021/acsami.5b12849,2016,1,train_through_2018,3,True
299,10.1021/acsami.5b12849,10.1021/acsami.5b12849,2016,1,train_through_2018,1,True
300,10.1021/acsami.5b12849,10.1021/acsami.5b12849,2016,1,train_through_2018,3,True
301,10.1021/acsami.5b12849,10.1021/acsami.5b12849,2016,1,train_through_2018,3,True
302,10.1039/c8ta08306a,10.1039/c8ta08306a,2018,2,train_through_2018,2,True
303,10.1039/c8ta08306a,10.1039/c8ta08306a,2018,2,train_through_2018,3,True
304,10.1039/c8ta08306a,10.1039/c8ta08306a,2018,2,train_through_2018,3,True
305,10.1039/c8ta08306a,10.1039/c8ta08306a,2018,2,train_through_2018,3,True
306,10.1039/c8ta08306a,10.1039/c8ta08306a,2018,2,train_through_2018,2,True
307,10.1039/c8ta08306a,10.1039/c8ta08306a,2018,2,train_through_2018,2,True
308,10.1039/c8ta08306a,10.1039/c8ta08306a,2018,2,train_through_2018,1,True
309,10.1039/c8ta08306a,10.1039/c8ta08306a,2018,2,train_through_2018,2,True
310,10.1039/c5ta01526j,10.1039/c5ta01526j,2015,4,train_through_2018,4,True
311,10.1039/c5ta01526j,10.1039/c5ta01526j,2015,4,train_through_2018,1,True
312,10.1016/j.joule.2017.11.006,10.1016/j.joule.2017.11.006,2017,1,train_through_2018,2,True
313,10.1016/j.joule.2017.11.006,10.1016/j.joule.2017.11.006,2017,1,train_through_2018,5,True
314,10.1016/j.joule.2017.11.006,10.1016/j.joule.2017.11.006,2017,1,train_through_2018,1,True
315,10.1016/j.joule.2017.11.006,10.1016/j.joule.2017.11.006,2017,1,train_through_2018,2,True
316,10.1016/j.joule.2017.11.006,10.1016/j.joule.2017.11.006,2017,1,train_through_2018,1,True
317,10.1016/j.joule.2017.11.006,10.1016/j.joule.2017.11.006,2017,1,train_through_2018,5,True
318,10.1016/j.joule.2017.11.006,10.1016/j.joule.2017.11.006,2017,1,train_through_2018,4,True
319,10.1016/j.joule.2017.11.006,10.1016/j.joule.2017.11.006,2017,1,train_through_2018,5,True
320,10.1016/j.joule.2017.11.006,10.1016/j.joule.2017.11.006,2017,1,train_through_2018,2,True
